Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,synthetic_rows,train_time
0.7441176470588236,0.3414838157598525,0.5830049968234174,0.24837852030524735,0.7243722077786072,5,extrapolation,mscgan_mscnn_margin,0.2,5440,31,8,96,3022,1.986769437789917
0.7700980392156863,0.35321954647070336,0.6369714571601883,0.2645255258521329,0.7483317574508315,5,extrapolation,mscgan_mscnn_margin,0.3,8160,31,8,96,3022,1.986769437789917
0.7640625,0.34947266324107096,0.6297276114614917,0.262555654578166,0.7393314364330343,5,extrapolation,mscgan_mscnn_margin,0.4,10880,31,8,96,3022,1.986769437789917
0.7418382352941176,0.34434048059826733,0.5946101146271155,0.2531261777235499,0.7136373572321838,5,extrapolation,mscgan_mscnn_margin,0.5,13600,31,8,96,3022,1.986769437789917
0.6170588235294118,0.27835894779160075,0.42271388281732514,0.19290190568558763,0.6075019505995352,5,extrapolation,mscgan_mscnn_full,1.0,27200,31,8,96,3022,1.986769437789917
0.875,0.6318407960199005,0.6635842539973076,0.537182852143482,0.8746719160104988,6,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,3393,2.182600975036621
0.9,0.61580547112462,0.6423786207841977,0.4446187146187146,0.9035140900765901,6,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,3393,2.182600975036621
0.9,0.6764486975013291,0.6640097404723957,0.47665716999050334,0.9152845045900602,6,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,3393,2.182600975036621
0.9075,0.5143638850889193,0.6687259957670448,0.37572883030397275,0.9128068130883012,6,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,3393,2.182600975036621
0.9125,0.4873264868841916,0.685554254422945,0.3672995727007418,0.9157295174076371,6,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,3393,2.182600975036621
0.915,0.4697135853438266,0.7164256897856381,0.36540519138142225,0.9217867892379777,6,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,3393,2.182600975036621
0.84375,0.46677265703814375,0.6328380456577369,0.30972958208556783,0.869609201650519,6,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,3393,2.182600975036621
0.8254166666666667,0.4216490625915885,0.6425107616170309,0.32616240532060703,0.8428605092740824,6,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,3393,2.182600975036621
0.788125,0.43278939578559383,0.5946520839537088,0.3349197297367253,0.8069736203532019,6,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,3393,2.182600975036621
0.75225,0.42764670602556715,0.5538668138899111,0.3233187902829333,0.7789194093565381,6,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,3393,2.182600975036621
0.593625,0.3727405092371515,0.37524787937825255,0.2658317944971522,0.6451026901998794,6,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,3393,2.182600975036621
0.9816176470588235,0.6666666666666666,0.779881568518954,0.6634799235181644,0.9725143403441683,6,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,3393,2.182600975036621
0.9742647058823529,0.33237731038878265,0.6195635792251343,0.2931274244309449,0.965475134648751,6,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,3393,2.182600975036621
0.9779411764705882,0.3324883819180397,0.617128733613701,0.30050604626708727,0.9707054203779304,6,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,3393,2.182600975036621
0.9772058823529411,0.2846369316957552,0.4884148250343967,0.2506502412924553,0.9724093501082047,6,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,3393,2.182600975036621
0.9774816176470589,0.3561354019746122,0.428597980655612,0.26741592406149367,0.9728417584212098,6,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,3393,2.182600975036621
